round,global_test_acc,global_test_loss,global_best_score,client1_val_acc,client2_val_acc,client3_val_acc,client1_pbest,client2_pbest,client3_pbest,round_time
1,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.26757049560547
2,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.38545775413513
3,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.1594226360321
4,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.26141953468323
5,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.79590225219727
6,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.97240138053894
7,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.70607495307922
8,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.46150994300842
9,24.113475177304963,4.057856272006857,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.36474061012268
10,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.33142948150635
11,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.86869287490845
12,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.45846819877625
13,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.62772250175476
14,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.26258563995361
15,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.9510805606842
16,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.85235095024109
17,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.62010097503662
18,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.73293018341064
19,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.82039022445679
20,24.113475177304963,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.79948234558105
