feature,coef_std,effect_percent_per_1sd,target,abs_coef
age_at_diagnosis,0.044661236419429685,4.567356378021881,log_r,0.044661236419429685
idh1_present,-0.022227762606606926,-2.1982546123039404,log_r,0.022227762606606926
idh2_mutation_is_unknown,-0.02177445002849775,-2.1539098006876034,log_r,0.02177445002849775
atrx_present,-0.008133492131017347,-0.8100504778603246,log_r,0.008133492131017347
sex_at_birth_Male,0.0,0.0,log_r,0.0
is_hgg,0.0,0.0,log_r,0.0
idh2_present,0.0,0.0,log_r,0.0
idh1_mutation_is_unknown,-0.0,0.0,log_r,0.0
mgmt_present,0.0,0.0,log_r,0.0
mgmt_methylation_is_unknown,-0.0,0.0,log_r,0.0
atrx_mutation_is_unknown,-0.0,0.0,log_r,0.0
egfr_present,-0.0,0.0,log_r,0.0
egfr_amplification_is_unknown,0.0,0.0,log_r,0.0
pten_present,0.0,0.0,log_r,0.0
cdkn2a_b_present,0.0,0.0,log_r,0.0
tp53_present,-0.0,0.0,log_r,0.0
previous_brain_tumor,-0.0,0.0,log_r,0.0
initial_chemo_therapy_Yes,-0.0,0.0,log_r,0.0
radiation_therapy_Yes,0.0,0.0,log_r,0.0
enhancing_fraction,-0.0,0.0,log_r,0.0
edema_fraction,-0.0,0.0,log_r,0.0
necrotic_fraction,0.0,0.0,log_r,0.0
