fold,model,overall_mae,overall_rmse,overall_r2,overall_n_obs,grade,mae,rmse,r2,n_obs,type
1,grade_median,41241.50309152712,50464.84524951754,-0.579159228648154,136.0,,,,,,
1,covariate_logistic,39196.0947509781,53702.2564700374,-0.7882700363069717,136.0,,,,,,
1,grade_median,,,,,HGG,37412.16918401437,50210.21110762544,-0.06038201576165858,75.0,by_grade
1,grade_median,,,,,LGG,45949.70051879689,50776.169859787726,-2.898819530249148,61.0,by_grade
1,covariate_logistic,,,,,HGG,38428.649218277686,59198.00748996733,-0.4739828732737956,75.0,by_grade
1,covariate_logistic,,,,,LGG,40139.67532397041,46054.93739888933,-2.2074924978219306,61.0,by_grade
2,grade_median,37669.1320059367,52655.896261495,0.3305458068109489,103.0,,,,,,
2,covariate_logistic,42690.36508629316,61349.45951826127,0.09124182760591903,103.0,,,,,,
2,grade_median,,,,,HGG,40850.2166408413,55354.64344391834,0.2895565033169738,92.0,by_grade
2,grade_median,,,,,LGG,11063.69687764361,18294.829546597695,0.5470589588275798,11.0,by_grade
2,covariate_logistic,,,,,HGG,46424.34578726556,64576.26769500952,0.03313172830969202,92.0,by_grade
2,covariate_logistic,,,,,LGG,11460.70831452404,19112.60108223093,0.5056613927371099,11.0,by_grade
3,grade_median,32802.6069696564,45899.36398528488,0.30771117741203924,187.0,,,,,,
3,covariate_logistic,28309.020317597246,41794.57554657599,0.42599744912931325,187.0,,,,,,
3,grade_median,,,,,HGG,33991.5236481402,47782.14046246174,0.22211492555774126,156.0,by_grade
3,grade_median,,,,,LGG,8587.552035560804,11793.500782161107,0.8049523111564922,9.0,by_grade
3,grade_median,,,,,UNKNOWN,34278.26572253767,40755.38567864715,-2.477184643261674,22.0,by_grade
3,covariate_logistic,,,,,HGG,30642.242118993367,44863.24579572788,0.31425031092788624,156.0,by_grade
3,covariate_logistic,,,,,LGG,17947.475748223835,24392.729356249394,0.16559648933164084,9.0,by_grade
3,covariate_logistic,,,,,UNKNOWN,16003.170322441129,18229.78118974668,0.30430216787730047,22.0,by_grade
4,grade_median,43739.6031042047,64595.94994791566,0.21957948995917265,85.0,,,,,,
4,covariate_logistic,41911.469872016,66657.71224141786,0.16896578626320347,85.0,,,,,,
4,grade_median,,,,,HGG,42497.015057394354,59710.040184432655,0.20124991283230242,67.0,by_grade
4,grade_median,,,,,LGG,48364.79194510989,80207.98225061812,0.25483641617632924,18.0,by_grade
4,covariate_logistic,,,,,HGG,41432.971784958034,63317.83794952409,0.10180973080450084,67.0,by_grade
4,covariate_logistic,,,,,LGG,43692.546084953996,77840.05850057928,0.2981848359564522,18.0,by_grade
5,grade_median,38353.025435233656,58608.72470906427,0.17832812453117008,143.0,,,,,,
5,covariate_logistic,31115.24571252471,53182.32902294144,0.32343646910539847,143.0,,,,,,
5,grade_median,,,,,HGG,41788.72613270866,58812.62321419367,0.1786231788695961,113.0,by_grade
5,grade_median,,,,,LGG,29239.570650643716,78682.75778863527,-0.21900518402489655,14.0,by_grade
5,grade_median,,,,,UNKNOWN,22062.66219583271,29230.077530793107,-2.131048503943823,16.0,by_grade
5,covariate_logistic,,,,,HGG,34418.65886388725,52803.5142795086,0.3378948029280603,113.0,by_grade
5,covariate_logistic,,,,,LGG,26606.58497942756,78328.04351684453,-0.20803902351110404,14.0,by_grade
5,covariate_logistic,,,,,UNKNOWN,11729.96847248676,14776.854784102201,0.1998086144132547,16.0,by_grade
